Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2023-03-23,"K=a Hua Tera Vada (From "Hum Kisi Se Kum Nahin")","Mohd. =afi & Sushma Shreshtha",https://www.shazam.com/track/51017121/kya-hua=tera-vada-from-hum-kisi-se-kum-nahin,51017121
2,2023-03-20,"Kya Mujhe =yaar Hai","Ali Hamza Afzal",https://www.shazam.com/track/588438995/ky=-mujhe-pyaar-hai,588438995
3,2023-03-19,"On The Floor (Radio Edit=","Jennifer Lopez",https://www.shazam.com/track/109077910/on-the-floor,10=077910
4,2023-03-19,"Chala Jata Hoon","Sanam",https://www.shazam.com/=rack/463548330/chala-jata-hoon,463548330
5,2023-03-19,"Chala Jata Hoo= (From "Mere Jeevan Saathi")","Kishore Kumar",https://www.shazam.=om/track/54965574/chala-jata-hoon-from-mere-jeevan-saathi,54965574
6,2023=03-19,"Bulla Ki jaana","Rabbi Shergill",https://www.shazam.com/track/=5316512/bulla-ki-jaana,45316512
7,2023-03-15,"Tere Bin","Rabbi Shergi=l",https://www.shazam.com/track/44952536/tere-bin,44952536
8,2023-03-12,"=hri Krishna Govind Hare Murari","Simpal Kharel",https://www.shaza=.com/track/643833120/shri-krishna-govind-hare-murari,643833120
9,2023-03-=9,"O Paalanhaare","A.R. Rahman, Lata Mangeshkar & Udit Naraya=",https://www.shazam.com/track/10109289/o-paalanhaare,10109289
10,2023-03=07,"Excuses","AP Dhillon, Gurinder Gill & Intense",https://www.sh=zam.com/track/530871533/excuses,530871533
11,2023-03-07,"Ap X Gurinde= Gill","DJ JAZZY HANS",https://www.shazam.com/track/615692003/ap-x-gu=inder-gill,615692003
12,2023-03-07,"12 Saal (Baarah Saal)","Bilal =aeed",https://www.shazam.com/track/121226535/12-saal-baarah-saal,121226535
=3,2023-03-07,"Tu Hi Das De","Tedi Pagg, Simar Panag & Micke= Singh",https://www.shazam.com/track/504766107/tu-hi-das-de-feat-mickey-s=ngh,504766107
14,2023-03-07,"BIBA (feat. Slick Trick & Toshi)",=Farasat Anees",https://www.shazam.com/track/536759544/biba-feat-slick-tri=k-toshi,536759544
15,2023-03-06,"Jaadugar - Live","Mr Maksud",https=//www.shazam.com/track/637756376/jaadugar-live,637756376
16,2023-03-06,"A=na Bana Le","Ajinkya Bhagwat",https://www.shazam.com/track/646422777/=pna-bana-le,646422777
17,2023-03-02,"Ek Din Aap (From "Yes Boss=)","Alka Yagnik & Kumar Sanu",https://www.shazam.com/track/44928786=ek-din-aap-from-yes-boss,44928786
18,2023-03-02,"Hothon Se Chhu Lo =um (Live In India, 2001)","Jagjit Singh",https://www.shazam.com/t=ack/56991288/hothon-se-chhu-lo-tum-live-in-india-2001,56991288
19,2023-02=24,"Parvati Boli Shankar se","Shelly Khatri Taluja",https://www.s=azam.com/track/653844678/parvati-boli-shankar-se,653844678
20,2023-02-23,=Mere Humsafar (Original Score) [Female Version]","Yashal Shahid=,https://www.shazam.com/track/599993462/mere-humsafar-original-score-female=version,599993462
21,2023-02-23,"Aankhe Dekhi","Nauman Shafi",https:/=www.shazam.com/track/620215214/aankhe-dekhi,620215214
22,2023-02-23,"Hosh=alon Ko Khabar Kya","Jagjit Singh",https://www.shazam.com/track/460=6687/hoshwalon-ko-khabar-kya,46096687
23,2023-02-22,"Behna Meri","Yash =aid",https://www.shazam.com/track/582218357/behna-meri,582218357
24,2023-=2-18,"Mera Dil Bhi Kitna Pagal Hai (Recreated Version)","Steb=n Ben",https://www.shazam.com/track/454080494/mera-dil-bhi-kitna-pagal-ha=-recreated-version,454080494
25,2023-02-18,"Mera Dil Bhi Kitna Pa=al Hai (From "Saajan")","Kumar Sanu & Alka Yagnik",https://ww=.shazam.com/track/10666846/mera-dil-bhi-kitna-pagal-hai-from-saajan,1066684=
